time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_type,num_schools,headcount,perm_excl,perm_excl_rate,suspension,susp_rate,one_plus_susp,one_plus_susp_rate
Academic year,200607,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,state-funded secondary,18,20148,77,0.38217,2180,10.81993,1392,6.90887
Academic year,200607,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Total,118,50231,81,0.16126,2556,5.08849,1610,3.20519
Academic year,200607,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,state-funded secondary,14,16919,76,0.4492,1668,9.85874,960,5.67409
Academic year,200607,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,state-funded secondary,17,14169,29,0.20467,1392,9.82426,813,5.73788
Academic year,200607,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Total,100,23166,31,0.13382,1441,6.22032,688,2.96987
Academic year,200607,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,state-funded secondary,12,12352,17,0.13763,951,7.69916,630,5.10039
Academic year,200607,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Total,75,28818,42,0.14574,1297,4.50066,791,2.74481
Academic year,200607,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,special,5,427,1,0.23419,190,44.49649,52,12.17799
Academic year,200607,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,state-funded secondary,61,39282,58,0.14765,2343,5.96456,1466,3.73199
Academic year,200607,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,state-funded secondary,22,17747,19,0.10706,1667,9.39314,884,4.98112
Academic year,200607,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Total,166,39566,20,0.05055,1813,4.58222,960,2.42633
