time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,school_type,characteristic_group,characteristic,headcount,perm_excl,perm_excl_rate,suspension,susp_rate,one_plus_susp,one_plus_susp_rate
Academic year,201011,National,E92000001,England,,,,,,State-funded special,Total,Total,92918,108,0.116231516,14342,15.43511483,5650,6.080630233
Academic year,200910,National,E92000001,England,,,,,,State-funded secondary,Total,Total,3278485,5020.020384,0.153120127,279262,8.518019756,154474,4.711749482
Academic year,200910,National,E92000001,England,,,,,,State-funded special,Total,Total,91817,102,0.111090539,14906,16.23446638,5884,6.408399316
Academic year,201213,National,E92000001,England,,,,,,State-funded primary,Total,Total,4309582,665,0.015430731,37865,0.878623495,19384,0.449788402
Academic year,201213,National,E92000001,England,,,,,,Total,Total,Total,7616872,4632,0.060812365,267520,3.51220291,146071,1.917729483
Academic year,201011,National,E92000001,England,,,,,,Total,Total,Total,7493306,5082,0.067820532,324106,4.325273784,174280,2.325809196
Academic year,200910,National,E92000001,England,,,,,,State-funded primary,Total,Total,4096582,619,0.015110158,37212,0.908367024,19399,0.473541113
Academic year,200809,National,E92000001,England,,,,,,State-funded primary,Total,Total,4077350,710,0.017413271,38873,0.953388843,20360,0.499343937
Academic year,200809,National,E92000001,England,,,,,,State-funded special,Total,Total,91163,116,0.127244606,15565,17.07381284,6019,6.602459331
Academic year,200910,National,E92000001,England,,,,,,Total,Total,Total,7466884,5741.020384,0.076886428,331380,4.437995823,179757,2.407389749
Academic year,200708,National,E92000001,England,,,,,,State-funded secondary,Total,Total,3294575,6995.000176,0.212318741,324183,9.839903478,176161,5.347002269
Academic year,201112,National,E92000001,England,,,,,,State-funded secondary,Total,Total,3234877,4392,0.135770232,252213,7.79667975,137067,4.237162649
Academic year,201112,National,E92000001,England,,,,,,State-funded special,Total,Total,94578,84,0.088815581,14371,15.19486561,5707,6.034172852
Academic year,200607,National,E92000001,England,,,,,,State-funded secondary,Total,Total,3325624,7522,0.226183116,363271,10.92339362,197140,5.92791007
Academic year,200708,National,E92000001,England,,,,,,State-funded special,Total,Total,90686,167,0.184151909,16354,18.03365459,6262,6.905145226
Academic year,200708,National,E92000001,England,,,,,,Total,Total,Total,7475663,8126.000186,0.108699391,383831,5.134407477,204885,2.740693367
Academic year,202223,National,E92000001,England,,,,,,State-funded primary,Total,Total,4647851,1201,0.025839899,84264,1.812966896,38233,0.822595217
Academic year,202223,National,E92000001,England,,,,,,State-funded secondary,Total,Total,3630171,8054,0.221862827,685930,18.89525314,258546,7.122143833
Academic year,202223,National,E92000001,England,,,,,,State-funded special,Total,Total,152578,121,0.0793037,16767,10.98913343,7261,4.758877427
Academic year,202223,National,E92000001,England,,,,,,Total,Total,Total,8430600,9376,0.111213911,786961,9.334578796,304040,3.60638626
Academic year,202021,National,E92000001,England,,,,,,State-funded special,Total,Total,137583,44,0.031980695,10027,7.287964356,5035,3.659609109
Academic year,202021,National,E92000001,England,,,,,,Total,Total,Total,8291354,3928,0.047374651,352454,4.250861801,182459,2.200593534
Academic year,202122,National,E92000001,England,,,,,,State-funded special,Total,Total,145402,79,0.054332127,13957,9.598905104,6376,4.385084112
