academic_year,exam_year,Area,Area_code,Pupil_group,school_type_short,x_value,n_value,x_percent
2018-19,2019,Gateshead,E08000037,FSM,Total,5003,25034,0.199848206
2018-19,2019,Gateshead,E08000037,Disadvantaged pupils,Total,7802,25034,0.311656148
2018-19,2019,Newcastle upon Tyne,E08000021,FSM,Total,9999,33762,0.296161365
2018-19,2019,Newcastle upon Tyne,E08000021,Disadvantaged pupils,Total,13316,33762,0.394407914
2018-19,2019,North Tyneside,E08000022,FSM,Total,4074,25704,0.158496732
2018-19,2019,North Tyneside,E08000022,Disadvantaged pupils,Total,6878,25704,0.267584812
2018-19,2019,South Tyneside,E08000023,FSM,Total,4567,18942,0.241104424
2018-19,2019,South Tyneside,E08000023,Disadvantaged pupils,Total,6884,18942,0.363425193
2018-19,2019,Sunderland,E08000024,FSM,Total,8675,35485,0.244469494
2018-19,2019,Sunderland,E08000024,Disadvantaged pupils,Total,11692,35485,0.329491334
2018-19,2019,Hartlepool,E06000001,Disadvantaged pupils,Total,5594,13059,0.428363581
2018-19,2019,Hartlepool,E06000001,FSM,Total,4069,13059,0.311585879
2018-19,2019,Middlesbrough,E06000002,FSM,Total,5978,20546,0.290956877
2018-19,2019,Middlesbrough,E06000002,Disadvantaged pupils,Total,9054,20546,0.440669717
2018-19,2019,Redcar and Cleveland,E06000003,FSM,Total,4108,18832,0.218139337
2018-19,2019,Redcar and Cleveland,E06000003,Disadvantaged pupils,Total,6564,18832,0.34855565
2018-19,2019,Stockton-on-Tees,E06000004,FSM,Total,5195,26953,0.192742923
2018-19,2019,Stockton-on-Tees,E06000004,Disadvantaged pupils,Total,8216,26953,0.304826921
2018-19,2019,County Durham,E06000047,FSM,Total,13957,62278,0.224108032
2018-19,2019,County Durham,E06000047,Disadvantaged pupils,Total,20614,62278,0.330999711
2018-19,2019,Darlington,E06000005,FSM,Total,2836,14423,0.196630382
2018-19,2019,Darlington,E06000005,Disadvantaged pupils,Total,4473,14423,0.310129654
2018-19,2019,Northumberland,E06000057,FSM,Total,5880,37708,0.15593508
2018-19,2019,Northumberland,E06000057,Disadvantaged pupils,Total,9228,37708,0.244722605
2018-19,2019,Knowsley,E08000011,FSM,Total,5781,17180,0.336495925
2018-19,2019,Knowsley,E08000011,Disadvantaged pupils,Total,7803,17180,0.45419092
2018-19,2019,Liverpool,E08000012,FSM,Total,16653,59854,0.278227019
2018-19,2019,Liverpool,E08000012,Disadvantaged pupils,Total,23724,59854,0.396364487
2018-19,2019,St. Helens,E08000013,FSM,Total,4155,22912,0.18134602
2018-19,2019,St. Helens,E08000013,Disadvantaged pupils,Total,6953,22912,0.303465433
2018-19,2019,Sefton,E08000014,FSM,Total,5968,33872,0.176192726
2018-19,2019,Sefton,E08000014,Disadvantaged pupils,Total,8907,33872,0.262960557
2018-19,2019,Wirral,E08000015,FSM,Total,8991,42979,0.209195188
2018-19,2019,Wirral,E08000015,Disadvantaged pupils,Total,13237,42979,0.307987622
2018-19,2019,Bolton,E08000001,FSM,Total,8156,42667,0.191154757
2018-19,2019,Bolton,E08000001,Disadvantaged pupils,Total,13094,42667,0.306888227
2018-19,2019,Bury,E08000002,FSM,Total,4551,27658,0.16454552
2018-19,2019,Bury,E08000002,Disadvantaged pupils,Total,7053,27658,0.255007593
2018-19,2019,Manchester,E08000003,FSM,Total,20357,75520,0.269557733
2018-19,2019,Manchester,E08000003,Disadvantaged pupils,Total,32134,75520,0.425503178
2018-19,2019,Oldham,E08000004,FSM,Total,8039,38754,0.207436652
2018-19,2019,Oldham,E08000004,Disadvantaged pupils,Total,12765,38754,0.329385354
2018-19,2019,Rochdale,E08000005,Disadvantaged pupils,Total,10789,32612,0.330829143
2018-19,2019,Rochdale,E08000005,FSM,Total,7001,32612,0.21467558
2018-19,2019,Salford,E08000006,Disadvantaged pupils,Total,12397,32863,0.377232754
2018-19,2019,Salford,E08000006,FSM,Total,8147,32863,0.247907982
2018-19,2019,Stockport,E08000007,FSM,Total,4863,37006,0.131411123
2018-19,2019,Stockport,E08000007,Disadvantaged pupils,Total,8119,37006,0.219396855
2018-19,2019,Tameside,E08000008,FSM,Total,6527,32720,0.19948044
2018-19,2019,Tameside,E08000008,Disadvantaged pupils,Total,10181,32720,0.311155257
2018-19,2019,Trafford,E08000009,FSM,Total,3497,35234,0.099250724
2018-19,2019,Trafford,E08000009,Disadvantaged pupils,Total,5823,35234,0.165266504
2018-19,2019,Wigan,E08000010,FSM,Total,7345,43115,0.170358344
2018-19,2019,Wigan,E08000010,Disadvantaged pupils,Total,11576,43115,0.268491244
2018-19,2019,Halton,E06000006,FSM,Total,5012,17449,0.287237091
2018-19,2019,Halton,E06000006,Disadvantaged pupils,Total,7055,17449,0.404321165
2018-19,2019,Warrington,E06000007,FSM,Total,3829,28394,0.134852434
2018-19,2019,Warrington,E06000007,Disadvantaged pupils,Total,5886,28394,0.207297316
2018-19,2019,Blackburn with Darwen,E06000008,FSM,Total,4115,24430,0.168440442
2018-19,2019,Blackburn with Darwen,E06000008,Disadvantaged pupils,Total,6929,24430,0.283626688
2018-19,2019,Blackpool,E06000009,FSM,Total,5083,17398,0.292160018
2018-19,2019,Blackpool,E06000009,Disadvantaged pupils,Total,7593,17398,0.436429475
2018-19,2019,Cheshire East,E06000049,FSM,Total,4713,46796,0.100713736
2018-19,2019,Cheshire East,E06000049,Disadvantaged pupils,Total,7505,46796,0.160376955
2018-19,2019,Cheshire West and Chester,E06000050,FSM,Total,6019,43339,0.138881839
2018-19,2019,Cheshire West and Chester,E06000050,Disadvantaged pupils,Total,9041,43339,0.208611182
2018-19,2019,Barnsley,E08000016,FSM,Total,6229,30045,0.20732235
2018-19,2019,Barnsley,E08000016,Disadvantaged pupils,Total,9699,30045,0.322815776
2018-19,2019,Doncaster,E08000017,FSM,Total,7550,40305,0.187321672
2018-19,2019,Doncaster,E08000017,Disadvantaged pupils,Total,12410,40305,0.307902245
2018-19,2019,Rotherham,E08000018,FSM,Total,7054,39795,0.17725845
2018-19,2019,Rotherham,E08000018,Disadvantaged pupils,Total,11842,39795,0.297575072
2018-19,2019,Sheffield,E08000019,FSM,Total,15446,69550,0.222084831
2018-19,2019,Sheffield,E08000019,Disadvantaged pupils,Total,23049,69550,0.331401869
2018-19,2019,Bradford,E08000032,FSM,Total,16197,83748,0.193401633
2018-19,2019,Bradford,E08000032,Disadvantaged pupils,Total,26481,83748,0.316198596
2018-19,2019,Calderdale,E08000033,FSM,Total,5469,31714,0.1724475
2018-19,2019,Calderdale,E08000033,Disadvantaged pupils,Total,8552,31714,0.269660087
2018-19,2019,Kirklees,E08000034,FSM,Total,12794,59991,0.213265323
2018-19,2019,Kirklees,E08000034,Disadvantaged pupils,Total,15610,59991,0.260205698
2018-19,2019,Leeds,E08000035,FSM,Total,19427,105627,0.183920778
2018-19,2019,Leeds,E08000035,Disadvantaged pupils,Total,32458,105627,0.307288856
2018-19,2019,Wakefield,E08000036,FSM,Total,7335,45347,0.161752707
2018-19,2019,Wakefield,E08000036,Disadvantaged pupils,Total,12075,45347,0.266280019
2018-19,2019,"Kingston upon Hull, City of",E06000010,FSM,Total,8349,35095,0.237897136
2018-19,2019,"Kingston upon Hull, City of",E06000010,Disadvantaged pupils,Total,12956,35095,0.369169397
2018-19,2019,East Riding of Yorkshire,E06000011,FSM,Total,5586,39631,0.140950266
2018-19,2019,East Riding of Yorkshire,E06000011,Disadvantaged pupils,Total,7949,39631,0.200575307
