time_period,phase_type_grouping,pupil_sen_status,primary_need,pupil_count,Need_code,Need_category,AYCode
202324,special,EHC plans,Autistic Spectrum Disorder,1339,ASD,Communication & Interaction,2023
202324,special,SEN Support,Autistic Spectrum Disorder,7,ASD,Communication & Interaction,2023
202324,special,EHC plans,Hearing Impairment,376,HI,Physical &/or Sensory,2023
202324,special,SEN Support,Hearing Impairment,7,HI,Physical &/or Sensory,2023
202324,special,EHC plans,Moderate Learning Difficulty,123,MLD,Cognition & Learning,2023
202324,special,EHC plans,Multi- Sensory Impairment,24,MSI,Physical &/or Sensory,2023
202324,special,EHC plans,Other Difficulty/Disability,59,OTH,Other,2023
202324,special,SEN Support,Other Difficulty/Disability,2,OTH,Other,2023
202324,special,EHC plans,Physical Disability,319,PD,Physical &/or Sensory,2023
202324,special,EHC plans,Profound & Multiple Learning Difficulty,181,PMLD,Cognition & Learning,2023
202324,special,EHC plans,Severe Learning Difficulty,230,SLD,Cognition & Learning,2023
202324,special,EHC plans,"Social, Emotional and Mental Health",466,SEMH,"Social, Emotional, Mental Health",2023
202324,special,EHC plans,Specific Learning Difficulty,98,SPLD,Cognition & Learning,2023
202324,special,EHC plans,"Speech, Language and Communications needs",654,SLCN,Communication & Interaction,2023
202324,special,EHC plans,Visual Impairment,190,VI,Physical &/or Sensory,2023
202324,special,No SEN,Missing,7,MN,Other,2023
202324,special,SEN Support,Physical Disability,2,PD,Physical &/or Sensory,2023
202324,special,SEN Support,Profound & Multiple Learning Difficulty,11,PMLD,Cognition & Learning,2023
202324,special,SEN Support,"Social, Emotional and Mental Health",1,SEMH,"Social, Emotional, Mental Health",2023
202324,special,SEN Support,Specific Learning Difficulty,2,SPLD,Cognition & Learning,2023
202324,special,SEN Support,"Speech, Language and Communications needs",7,SLCN,Communication & Interaction,2023
202324,special,SEN Support,Visual Impairment,15,VI,Physical &/or Sensory,2023
202324,special,Total,Autistic Spectrum Disorder,1346,ASD,Communication & Interaction,2023
202324,special,Total,Hearing Impairment,383,HI,Physical &/or Sensory,2023
202324,special,Total,Missing,7,MN,Other,2023
202324,special,Total,Moderate Learning Difficulty,123,MLD,Cognition & Learning,2023
202324,special,Total,Multi- Sensory Impairment,24,MSI,Physical &/or Sensory,2023
202324,special,Total,Other Difficulty/Disability,61,OTH,Other,2023
202324,special,Total,Physical Disability,321,PD,Physical &/or Sensory,2023
202324,special,Total,Profound & Multiple Learning Difficulty,192,PMLD,Cognition & Learning,2023
202324,special,Total,Severe Learning Difficulty,230,SLD,Cognition & Learning,2023
202324,special,Total,"Social, Emotional and Mental Health",467,SEMH,"Social, Emotional, Mental Health",2023
202324,special,Total,Specific Learning Difficulty,100,SPLD,Cognition & Learning,2023
202324,special,Total,"Speech, Language and Communications needs",661,SLCN,Communication & Interaction,2023
202324,special,Total,Visual Impairment,205,VI,Physical &/or Sensory,2023
202324,AP,EHC plans,Autistic Spectrum Disorder,560,ASD,Communication & Interaction,2023
202324,AP,EHC plans,Hearing Impairment,11,HI,Physical &/or Sensory,2023
202324,AP,EHC plans,Missing,6,MN,Other,2023
202324,AP,EHC plans,Moderate Learning Difficulty,134,MLD,Cognition & Learning,2023
202324,AP,EHC plans,Multi- Sensory Impairment,5,MSI,Physical &/or Sensory,2023
202324,AP,EHC plans,Other Difficulty/Disability,92,OTH,Other,2023
202324,AP,EHC plans,Physical Disability,21,PD,Physical &/or Sensory,2023
202324,AP,EHC plans,Profound & Multiple Learning Difficulty,14,PMLD,Cognition & Learning,2023
202324,AP,EHC plans,Severe Learning Difficulty,16,SLD,Cognition & Learning,2023
202324,AP,EHC plans,"Social, Emotional and Mental Health",2579,SEMH,"Social, Emotional, Mental Health",2023
202324,AP,EHC plans,Specific Learning Difficulty,106,SPLD,Cognition & Learning,2023
202324,AP,EHC plans,"Speech, Language and Communications needs",287,SLCN,Communication & Interaction,2023
202324,AP,EHC plans,Visual Impairment,6,VI,Physical &/or Sensory,2023
202324,AP,No SEN,Missing,2817,MN,Other,2023
202324,AP,SEN Support,Autistic Spectrum Disorder,170,ASD,Communication & Interaction,2023
202324,AP,SEN Support,Hearing Impairment,12,HI,Physical &/or Sensory,2023
202324,AP,SEN Support,Missing,6,MN,Other,2023
202324,AP,SEN Support,Moderate Learning Difficulty,378,MLD,Cognition & Learning,2023
202324,AP,SEN Support,Multi- Sensory Impairment,7,MSI,Physical &/or Sensory,2023
202324,AP,SEN Support,Other Difficulty/Disability,178,OTH,Other,2023
202324,AP,SEN Support,Physical Disability,10,PD,Physical &/or Sensory,2023
202324,AP,SEN Support,Profound & Multiple Learning Difficulty,1,PMLD,Cognition & Learning,2023
202324,AP,SEN Support,SEN support but no specialist assessment of type of need,608,NSA,No Specific Assessment,2023
202324,AP,SEN Support,"Social, Emotional and Mental Health",7317,SEMH,"Social, Emotional, Mental Health",2023
202324,AP,SEN Support,Specific Learning Difficulty,260,SPLD,Cognition & Learning,2023
202324,AP,SEN Support,"Speech, Language and Communications needs",260,SLCN,Communication & Interaction,2023
202324,AP,SEN Support,Visual Impairment,5,VI,Physical &/or Sensory,2023
202324,AP,Total,Autistic Spectrum Disorder,730,ASD,Communication & Interaction,2023
202324,AP,Total,Hearing Impairment,23,HI,Physical &/or Sensory,2023
202324,AP,Total,Missing,2829,MN,Other,2023
202324,AP,Total,Moderate Learning Difficulty,512,MLD,Cognition & Learning,2023
202324,AP,Total,Multi- Sensory Impairment,12,MSI,Physical &/or Sensory,2023
202324,AP,Total,Other Difficulty/Disability,270,OTH,Other,2023
202324,AP,Total,Physical Disability,31,PD,Physical &/or Sensory,2023
202324,AP,Total,Profound & Multiple Learning Difficulty,15,PMLD,Cognition & Learning,2023
202324,AP,Total,SEN support but no specialist assessment of type of need,608,NSA,No Specific Assessment,2023
202324,AP,Total,Severe Learning Difficulty,16,SLD,Cognition & Learning,2023
202324,AP,Total,"Social, Emotional and Mental Health",9896,SEMH,"Social, Emotional, Mental Health",2023
202324,AP,Total,Specific Learning Difficulty,366,SPLD,Cognition & Learning,2023
202324,AP,Total,"Speech, Language and Communications needs",547,SLCN,Communication & Interaction,2023
202324,AP,Total,Visual Impairment,11,VI,Physical &/or Sensory,2023
202324,nursery,EHC plans,Autistic Spectrum Disorder,218,ASD,Communication & Interaction,2023
202324,nursery,EHC plans,Hearing Impairment,18,HI,Physical &/or Sensory,2023
202324,nursery,EHC plans,Moderate Learning Difficulty,29,MLD,Cognition & Learning,2023
202324,nursery,EHC plans,Multi- Sensory Impairment,6,MSI,Physical &/or Sensory,2023
202324,nursery,EHC plans,Other Difficulty/Disability,36,OTH,Other,2023
202324,nursery,EHC plans,Physical Disability,46,PD,Physical &/or Sensory,2023
202324,nursery,EHC plans,Profound & Multiple Learning Difficulty,27,PMLD,Cognition & Learning,2023
202324,nursery,EHC plans,Severe Learning Difficulty,51,SLD,Cognition & Learning,2023
202324,nursery,EHC plans,"Social, Emotional and Mental Health",9,SEMH,"Social, Emotional, Mental Health",2023
202324,nursery,EHC plans,Specific Learning Difficulty,26,SPLD,Cognition & Learning,2023
